customer_id,acquisition_channel,acquisition_date,age_group,gender,city,country,subscription_plan,first_purchase_value
CUST-003485,Organic,2024-02-26,45-54,Female,Melbourne,Australia,Free,10.72
CUST-002274,Organic,2024-02-28,45-54,Female,Austin,United States,Premium,70.1
CUST-004981,Organic,2024-03-02,18-24,Male,Vancouver,Canada,Free,19.91
CUST-005857,Organic,2024-03-02,18-24,Female,Seattle,United States,Enterprise,145.49
CUST-001125,Organic,2024-03-02,25-34,Female,Melbourne,Australia,Premium,92.46
CUST-002210,Organic,2024-03-02,45-54,Male,Chicago,United States,Premium,111.07
CUST-005154,Organic,2024-03-02,35-44,Female,Chicago,United States,Free,20.96
CUST-002093,Organic,2024-03-03,35-44,Male,Austin,United States,Basic,56.09
CUST-003536,Organic,2024-03-04,25-34,Male,Toronto,Canada,Basic,50.74
CUST-000906,Organic,2024-03-04,18-24,Male,Seattle,United States,Premium,70.73
CUST-002726,Google Ads,2024-03-05,35-44,Male,Chicago,United States,Basic,62.68
CUST-002792,Google Ads,2024-03-05,25-34,Male,Seattle,United States,Premium,93.06
CUST-004020,Google Ads,2024-03-06,25-34,Male,Birmingham,United Kingdom,Premium,88.46
CUST-001973,Google Ads,2024-03-06,35-44,Male,Bengaluru,India,Enterprise,114.33
CUST-000772,Google Ads,2024-03-07,25-34,Female,Pune,India,Free,22.01
CUST-005852,Facebook,2024-03-07,25-34,Male,Toronto,Canada,Premium,80.46
CUST-001273,Organic,2024-03-07,45-54,Male,Montreal,Canada,Premium,122.0
CUST-002502,Google Ads,2024-03-07,25-34,Male,Seattle,United States,Premium,92.26
CUST-000917,Facebook,2024-03-07,35-44,Female,Vancouver,Canada,Basic,54.16
CUST-004093,Facebook,2024-03-07,25-34,Male,Toronto,Canada,Premium,101.98
CUST-004829,Google Ads,2024-03-08,25-34,Female,Montreal,Canada,Basic,43.54
CUST-002892,Google Ads,2024-03-08,45-54,Female,Delhi,India,Basic,52.88
CUST-003845,Facebook,2024-03-08,45-54,Male,Toronto,Canada,Premium,82.84
CUST-001436,Organic,2024-03-08,25-34,Female,Chicago,United States,Free,23.7
CUST-000595,Google Ads,2024-03-08,25-34,Male,Pune,India,Basic,55.82
CUST-001814,Organic,2024-03-08,35-44,Female,Pune,India,Premium,45.26
CUST-000122,Google Ads,2024-03-09,55+,Female,Birmingham,United Kingdom,Premium,80.25
CUST-005715,Facebook,2024-03-09,18-24,Female,Melbourne,Australia,Enterprise,96.78
CUST-004373,Google Ads,2024-03-09,25-34,Male,Pune,India,Enterprise,211.64
CUST-005024,Facebook,2024-03-10,25-34,Male,Birmingham,United Kingdom,Free,20.44
CUST-001252,Facebook,2024-03-10,25-34,Female,Pune,India,Free,15.32
CUST-000739,Google Ads,2024-03-10,25-34,Male,Mumbai,India,Premium,90.1
CUST-003943,Google Ads,2024-03-10,45-54,Male,Los Angeles,United States,Basic,68.14
CUST-000724,Facebook,2024-03-10,18-24,Female,Melbourne,Australia,Premium,103.1
CUST-005929,Google Ads,2024-03-10,45-54,Female,New York,United States,Free,18.21
CUST-004309,Google Ads,2024-03-11,25-34,Female,Delhi,India,Premium,84.16
CUST-004070,Google Ads,2024-03-11,25-34,Male,Delhi,India,Premium,79.95
CUST-003269,Google Ads,2024-03-11,18-24,Female,New York,United States,Premium,90.27
CUST-000628,Google Ads,2024-03-11,35-44,Female,Bengaluru,India,Basic,39.04
CUST-001938,Google Ads,2024-03-11,55+,Male,Austin,United States,Free,14.67
CUST-002379,Google Ads,2024-03-11,18-24,Male,Delhi,India,Basic,59.74
CUST-002323,Facebook,2024-03-11,35-44,Female,Melbourne,Australia,Basic,67.65
CUST-003829,Google Ads,2024-03-12,45-54,Female,Mumbai,India,Premium,95.0
CUST-005785,Google Ads,2024-03-13,25-34,Female,Los Angeles,United States,Basic,36.95
CUST-001332,Google Ads,2024-03-13,25-34,Female,London,United Kingdom,Basic,27.77
CUST-004748,Google Ads,2024-03-13,25-34,Male,Toronto,Canada,Basic,45.31
CUST-000312,Google Ads,2024-03-13,35-44,Female,London,United Kingdom,Premium,123.37
CUST-004168,Organic,2024-03-13,25-34,Male,New York,United States,Basic,55.66
CUST-005073,Google Ads,2024-03-13,18-24,Female,Austin,United States,Enterprise,267.56
CUST-005555,Google Ads,2024-03-14,55+,Male,Austin,United States,Free,11.93
CUST-004941,Google Ads,2024-03-14,18-24,Male,Pune,India,Basic,50.27
CUST-004587,Google Ads,2024-03-14,18-24,Female,Vancouver,Canada,Free,26.58
CUST-000269,Google Ads,2024-03-14,25-34,Male,Los Angeles,United States,Basic,49.73
CUST-001876,Google Ads,2024-03-14,35-44,Female,Bengaluru,India,Basic,26.34
CUST-001648,Organic,2024-03-14,25-34,Female,Delhi,India,Premium,100.51
CUST-003412,Facebook,2024-03-14,45-54,Male,Manchester,United Kingdom,Basic,55.93
CUST-002922,Facebook,2024-03-14,25-34,Female,Seattle,United States,Premium,129.3
CUST-002476,Google Ads,2024-03-14,25-34,Male,Los Angeles,United States,Premium,84.88
CUST-003309,Google Ads,2024-03-14,35-44,Female,New York,United States,Premium,112.2
CUST-002835,Google Ads,2024-03-15,35-44,Male,Chicago,United States,Enterprise,184.36
CUST-000287,Google Ads,2024-03-15,35-44,Male,Manchester,United Kingdom,Free,20.15
CUST-002407,Organic,2024-03-16,35-44,Male,Toronto,Canada,Free,25.13
CUST-004296,Google Ads,2024-03-16,35-44,Female,Delhi,India,Premium,140.36
CUST-003758,Google Ads,2024-03-16,18-24,Male,Toronto,Canada,Basic,50.2
CUST-003436,Google Ads,2024-03-16,35-44,Male,Austin,United States,Basic,45.46
CUST-001614,Google Ads,2024-03-16,45-54,Female,Seattle,United States,Basic,41.4
CUST-003494,Google Ads,2024-03-16,25-34,Female,Chicago,United States,Free,24.91
CUST-005325,Google Ads,2024-03-16,18-24,Female,New York,United States,Premium,88.01
CUST-001322,Facebook,2024-03-16,35-44,Other,Montreal,Canada,Basic,62.42
CUST-004597,Google Ads,2024-03-17,25-34,Male,Manchester,United Kingdom,Basic,48.66
CUST-002108,Facebook,2024-03-17,25-34,Female,London,United Kingdom,Enterprise,174.53
CUST-005657,Organic,2024-03-17,35-44,Female,Los Angeles,United States,Premium,99.18
CUST-001501,Google Ads,2024-03-17,25-34,Female,Sydney,Australia,Free,18.91
CUST-005507,Google Ads,2024-03-17,25-34,Male,Seattle,United States,Premium,92.53
CUST-005639,Facebook,2024-03-17,35-44,Female,Melbourne,Australia,Basic,52.73
CUST-005026,Google Ads,2024-03-17,25-34,Female,Montreal,Canada,Free,21.94
CUST-004291,Facebook,2024-03-17,25-34,Other,Delhi,India,Basic,35.76
CUST-001742,Organic,2024-03-17,55+,Male,New York,United States,Basic,69.76
CUST-004648,Facebook,2024-03-17,18-24,Female,New York,United States,Basic,60.64
CUST-002679,Google Ads,2024-03-18,18-24,Female,Toronto,Canada,Basic,52.48
CUST-003507,Google Ads,2024-03-18,35-44,Female,Manchester,United Kingdom,Basic,42.46
CUST-002145,Google Ads,2024-03-18,25-34,Female,Manchester,United Kingdom,Basic,51.58
CUST-001269,Google Ads,2024-03-18,35-44,Male,Sydney,Australia,Free,18.94
CUST-003162,Google Ads,2024-03-18,25-34,Male,New York,United States,Free,20.15
CUST-001833,Google Ads,2024-03-18,35-44,Male,Los Angeles,United States,Premium,119.98
CUST-005390,Organic,2024-03-18,18-24,Female,Montreal,Canada,Enterprise,129.85
CUST-005814,Facebook,2024-03-18,18-24,Female,Mumbai,India,Basic,53.54
CUST-001919,Google Ads,2024-03-19,35-44,Female,Austin,United States,Basic,58.45
CUST-001555,Google Ads,2024-03-19,45-54,Male,Los Angeles,United States,Premium,51.02
CUST-002086,Google Ads,2024-03-19,18-24,Female,Manchester,United Kingdom,Premium,80.44
CUST-001914,Facebook,2024-03-19,25-34,Male,Sydney,Australia,Basic,34.97
CUST-003712,Google Ads,2024-03-19,45-54,Female,Chicago,United States,Enterprise,259.24
CUST-002951,Google Ads,2024-03-19,18-24,Male,London,United Kingdom,Enterprise,116.3
CUST-000636,Facebook,2024-03-19,18-24,Female,Delhi,India,Basic,26.01
CUST-005719,Facebook,2024-03-20,35-44,Female,Mumbai,India,Premium,96.58
CUST-000399,Google Ads,2024-03-20,18-24,Male,Chicago,United States,Basic,65.58
CUST-002785,Google Ads,2024-03-20,45-54,Male,Bengaluru,India,Basic,60.35
CUST-005019,Google Ads,2024-03-20,35-44,Female,London,United Kingdom,Free,18.71
CUST-003655,Organic,2024-03-20,25-34,Female,Chicago,United States,Premium,96.7
CUST-001200,Google Ads,2024-03-20,25-34,Male,Chicago,United States,Free,8.91
CUST-002669,Google Ads,2024-03-20,18-24,Male,Sydney,Australia,Premium,59.75
CUST-001816,Google Ads,2024-03-21,18-24,Male,Delhi,India,Enterprise,193.99
CUST-005171,Organic,2024-03-21,45-54,Female,Melbourne,Australia,Basic,37.84
CUST-004346,Facebook,2024-03-21,25-34,Male,Los Angeles,United States,Free,31.0
CUST-003778,Google Ads,2024-03-21,35-44,Female,London,United Kingdom,Basic,45.65
CUST-003408,Facebook,2024-03-21,35-44,Male,Melbourne,Australia,Free,34.82
CUST-005067,Facebook,2024-03-21,45-54,Female,Seattle,United States,Free,19.2
CUST-000290,Organic,2024-03-21,18-24,Female,Mumbai,India,Basic,50.69
CUST-000134,Google Ads,2024-03-21,25-34,Female,Pune,India,Basic,50.74
CUST-003612,Facebook,2024-03-21,25-34,Female,Mumbai,India,Free,17.13
CUST-003994,Organic,2024-03-21,45-54,Female,Chicago,United States,Free,26.29
CUST-003327,Organic,2024-03-21,35-44,Male,Austin,United States,Basic,48.66
CUST-000702,Facebook,2024-03-21,45-54,Female,Austin,United States,Basic,50.21
CUST-002652,Organic,2024-03-21,18-24,Female,Seattle,United States,Premium,51.84
CUST-003947,Facebook,2024-03-22,55+,Male,New York,United States,Basic,43.25
CUST-004905,Google Ads,2024-03-22,35-44,Female,Chicago,United States,Free,18.69
CUST-001590,Google Ads,2024-03-22,25-34,Male,New York,United States,Premium,148.71
CUST-000490,Facebook,2024-03-22,35-44,Female,Seattle,United States,Basic,40.31
CUST-003164,Google Ads,2024-03-22,45-54,Female,Austin,United States,Premium,54.82
CUST-000668,Facebook,2024-03-22,18-24,Female,Mumbai,India,Enterprise,185.06
CUST-002363,Google Ads,2024-03-22,55+,Female,Mumbai,India,Free,24.59
CUST-005113,Google Ads,2024-03-22,25-34,Male,Pune,India,Basic,44.32
CUST-001951,Google Ads,2024-03-23,25-34,Male,Montreal,Canada,Premium,106.54
CUST-004857,Google Ads,2024-03-23,25-34,Female,Austin,United States,Basic,32.62
CUST-002075,Google Ads,2024-03-23,45-54,Male,Los Angeles,United States,Premium,125.19
CUST-005218,Google Ads,2024-03-23,55+,Female,London,United Kingdom,Free,26.65
CUST-001044,Facebook,2024-03-23,25-34,Male,Bengaluru,India,Basic,51.72
CUST-001384,Google Ads,2024-03-23,25-34,Male,Bengaluru,India,Basic,41.93
CUST-002604,Facebook,2024-03-24,35-44,Female,Vancouver,Canada,Basic,82.65
CUST-004803,Organic,2024-03-24,55+,Male,Pune,India,Free,33.31
CUST-004594,Facebook,2024-03-24,25-34,Female,Austin,United States,Free,14.81
CUST-002441,Facebook,2024-03-24,25-34,Female,Melbourne,Australia,Premium,105.9
CUST-004641,Facebook,2024-03-24,18-24,Male,Los Angeles,United States,Basic,60.53
CUST-000462,Organic,2024-03-24,25-34,Male,Montreal,Canada,Premium,107.92
