transaction_id,customer_id,transaction_date,product_category,amount,discount,profit,refund_flag
TXN-500001,CUST-003485,2024-02-26,Beauty,10.72,0.1,5.31,False
TXN-500005,CUST-002274,2024-02-28,Software Add-ons,70.1,0.0,50.47,False
TXN-500045,CUST-001125,2024-03-02,Electronics,92.46,0.15,14.15,False
TXN-500070,CUST-005154,2024-03-02,Home & Garden,20.96,0.05,6.97,False
TXN-500013,CUST-005857,2024-03-02,Apparel,145.49,0.0,65.47,False
TXN-500012,CUST-004981,2024-03-02,Beauty,19.91,0.1,9.86,False
TXN-500066,CUST-002210,2024-03-02,Apparel,111.07,0.1,44.98,False
TXN-500071,CUST-002093,2024-03-03,Home & Garden,56.09,0.05,18.65,False
TXN-500087,CUST-003536,2024-03-04,Apparel,50.74,0.0,22.83,False
TXN-500103,CUST-000906,2024-03-04,Electronics,70.73,0.05,12.09,False
TXN-500113,CUST-002726,2024-03-05,Sports & Outdoors,62.68,0.1,22.56,False
TXN-500130,CUST-002792,2024-03-05,Beauty,93.06,0.0,51.18,False
TXN-500139,CUST-004020,2024-03-06,Sports & Outdoors,88.46,0.05,33.61,False
TXN-500163,CUST-001973,2024-03-06,Electronics,114.33,0.05,19.55,False
TXN-500198,CUST-002502,2024-03-07,Home & Garden,92.26,0.1,29.06,False
TXN-500225,CUST-004093,2024-03-07,Apparel,101.98,0.2,36.71,False
TXN-500223,CUST-000917,2024-03-07,Electronics,54.16,0.05,9.26,False
TXN-500171,CUST-005852,2024-03-07,Apparel,80.46,0.15,30.78,False
TXN-500170,CUST-000772,2024-03-07,Apparel,22.01,0.05,9.41,False
TXN-500179,CUST-001273,2024-03-07,Sports & Outdoors,122.0,0.05,46.36,False
TXN-500280,CUST-000595,2024-03-08,Software Add-ons,55.82,0.05,38.18,False
TXN-500248,CUST-004829,2024-03-08,Electronics,43.54,0.1,7.05,False
TXN-500252,CUST-002892,2024-03-08,Electronics,52.88,0.15,8.09,False
TXN-500255,CUST-003845,2024-03-08,Electronics,82.84,0.15,12.67,False
TXN-500275,CUST-001436,2024-03-08,Sports & Outdoors,23.7,0.05,9.01,False
TXN-500283,CUST-001814,2024-03-08,Beauty,45.26,0.15,21.16,False
TXN-500306,CUST-000122,2024-03-09,Home & Garden,80.25,0.05,26.68,False
TXN-500323,CUST-004373,2024-03-09,Electronics,211.64,0.0,38.1,False
TXN-500316,CUST-005715,2024-03-09,Home & Garden,96.78,0.2,27.1,False
TXN-500325,CUST-005024,2024-03-10,Home & Garden,20.44,0.1,6.44,False
TXN-500331,CUST-003943,2024-03-10,Beauty,68.14,0.0,37.48,False
TXN-500328,CUST-000739,2024-03-10,Apparel,90.1,0.1,36.49,False
TXN-500327,CUST-001252,2024-03-10,Software Add-ons,15.32,0.1,9.93,False
TXN-500338,CUST-000724,2024-03-10,Sports & Outdoors,103.1,0.0,41.24,False
TXN-500342,CUST-005929,2024-03-10,Beauty,18.21,0.15,8.51,False
TXN-500403,CUST-002323,2024-03-11,Sports & Outdoors,67.65,0.0,27.06,False
TXN-500398,CUST-002379,2024-03-11,Apparel,59.74,0.05,25.54,False
TXN-500394,CUST-000628,2024-03-11,Electronics,39.04,0.15,-3.98,True
TXN-500374,CUST-003269,2024-03-11,Electronics,90.27,0.2,13.0,False
TXN-500397,CUST-001938,2024-03-11,Apparel,14.67,0.3,4.62,False
TXN-500373,CUST-004070,2024-03-11,Apparel,79.95,0.1,32.38,False
TXN-500348,CUST-004309,2024-03-11,Beauty,84.16,0.1,41.66,False
TXN-500405,CUST-003829,2024-03-12,Electronics,95.0,0.1,15.39,False
TXN-500449,CUST-004168,2024-03-13,Sports & Outdoors,55.66,0.05,21.15,False
TXN-500408,CUST-005785,2024-03-13,Apparel,36.95,0.0,16.63,False
TXN-500415,CUST-001332,2024-03-13,Electronics,27.77,0.1,4.5,False
TXN-500423,CUST-004748,2024-03-13,Apparel,45.31,0.2,16.31,False
TXN-500430,CUST-000312,2024-03-13,Home & Garden,123.37,0.1,38.86,False
TXN-500459,CUST-005073,2024-03-13,Sports & Outdoors,267.56,0.0,107.02,False
TXN-500466,CUST-005555,2024-03-14,Home & Garden,11.93,0.0,4.18,False
TXN-500478,CUST-004941,2024-03-14,Apparel,50.27,0.0,22.62,False
TXN-500498,CUST-001876,2024-03-14,Apparel,26.34,0.0,11.85,False
TXN-500523,CUST-003309,2024-03-14,Home & Garden,112.2,0.0,39.27,False
TXN-500510,CUST-002922,2024-03-14,Apparel,129.3,0.0,58.19,False
TXN-500504,CUST-003412,2024-03-14,Apparel,55.93,0.15,21.39,False
TXN-500495,CUST-000269,2024-03-14,Software Add-ons,49.73,0.1,32.23,False
TXN-500501,CUST-001648,2024-03-14,Software Add-ons,100.51,0.05,68.75,False
TXN-500493,CUST-004587,2024-03-14,Sports & Outdoors,26.58,0.0,10.63,False
TXN-500511,CUST-002476,2024-03-14,Sports & Outdoors,84.88,0.15,28.86,False
TXN-500532,CUST-002835,2024-03-15,Electronics,184.36,0.15,28.21,False
TXN-500542,CUST-000287,2024-03-15,Apparel,20.15,0.05,8.61,False
TXN-500014,CUST-005857,2024-03-16,Beauty,271.25,0.0,149.19,False
TXN-500613,CUST-001322,2024-03-16,Apparel,62.42,0.05,26.68,False
TXN-500593,CUST-005325,2024-03-16,Beauty,88.01,0.0,48.41,False
TXN-500580,CUST-003494,2024-03-16,Home & Garden,24.91,0.1,7.85,False
TXN-500568,CUST-003436,2024-03-16,Beauty,45.46,0.05,23.75,False
TXN-500571,CUST-001614,2024-03-16,Electronics,41.4,0.0,-4.97,True
TXN-500566,CUST-003758,2024-03-16,Apparel,50.2,0.0,22.59,False
TXN-500557,CUST-004296,2024-03-16,Home & Garden,140.36,0.05,46.67,False
TXN-500554,CUST-002407,2024-03-16,Sports & Outdoors,25.13,0.05,9.55,False
TXN-500650,CUST-005639,2024-03-17,Apparel,52.73,0.05,22.54,False
TXN-500666,CUST-001742,2024-03-17,Apparel,69.76,0.3,21.97,False
TXN-500663,CUST-004291,2024-03-17,Software Add-ons,35.76,0.1,23.17,False
TXN-500660,CUST-005026,2024-03-17,Apparel,21.94,0.0,9.87,False
TXN-500670,CUST-004648,2024-03-17,Apparel,60.64,0.0,27.29,False
TXN-500648,CUST-005507,2024-03-17,Beauty,92.53,0.1,45.8,False
TXN-500640,CUST-001501,2024-03-17,Electronics,18.91,0.0,3.4,False
TXN-500630,CUST-005657,2024-03-17,Software Add-ons,99.18,0.0,71.41,False
TXN-500620,CUST-002108,2024-03-17,Electronics,174.53,0.2,25.13,False
TXN-500616,CUST-004597,2024-03-17,Home & Garden,48.66,0.0,17.03,False
TXN-500715,CUST-002145,2024-03-18,Electronics,51.58,0.0,9.28,False
TXN-500754,CUST-005390,2024-03-18,Software Add-ons,129.85,0.0,93.49,False
TXN-500730,CUST-001833,2024-03-18,Home & Garden,119.98,0.0,41.99,False
TXN-500724,CUST-003162,2024-03-18,Apparel,20.15,0.1,8.16,False
TXN-500784,CUST-005814,2024-03-18,Home & Garden,53.54,0.05,17.8,False
TXN-500721,CUST-001269,2024-03-18,Apparel,18.94,0.1,7.67,False
TXN-500685,CUST-002679,2024-03-18,Electronics,52.48,0.0,9.45,False
TXN-500164,CUST-001973,2024-03-18,Apparel,244.41,0.0,109.99,False
TXN-500705,CUST-003507,2024-03-18,Electronics,42.46,0.0,7.64,False
